=== Drone Speed Estimation Results ===

Frame Index,Time (seconds),Speed LK (m/s),Speed ORB (m/s),Note
1,0.04170833333333333,9.343822,8.631384,
2,0.08341666666666667,9.42267,8.591067,
3,0.125125,9.400718,8.631384,
4,0.16683333333333333,9.5707,8.631384,
5,0.20854166666666665,9.469133,8.631384,
6,0.25025,9.570707,8.631384,
7,0.2919583333333333,9.476863,8.631384,
8,0.33366666666666667,9.799168,8.949011,
9,0.37537499999999996,0.0,0.0,Tracking lost
10,0.4170833333333333,9.571736,8.631384,
11,0.45879166666666665,9.741253,8.949011,
12,0.5005,9.761693,8.631384,
13,0.5422083333333333,9.677893,8.631384,
14,0.5839166666666666,9.679376,8.591067,
15,0.625625,9.839289,8.631384,
16,0.6673333333333333,9.610868,8.631384,
17,0.7090416666666666,9.900927,8.631384,
18,0.7507499999999999,9.902653,8.631384,
19,0.7924583333333333,9.847056,8.631384,
20,0.8341666666666666,9.881193,8.631384,
21,0.875875,0.0,0.0,Tracking lost
22,0.9175833333333333,9.789432,8.631384,
23,0.9592916666666667,9.888137,8.631384,
24,1.001,9.639251,8.631384,
25,1.0427083333333333,9.838295,8.631384,
26,1.0844166666666666,9.662831,8.631384,
27,1.1261249999999998,9.703071,8.631384,
28,1.1678333333333333,9.773863,8.631384,
29,1.2095416666666665,9.543623,8.631366,
30,1.25125,9.579958,8.591067,
31,1.2929583333333332,9.494964,8.631366,
32,1.3346666666666667,0.0,0.0,Tracking lost
33,1.376375,9.5534315,8.631384,
34,1.4180833333333331,9.484641,8.631384,
35,1.4597916666666666,9.450087,8.631368,
36,1.5014999999999998,9.575835,8.631384,
37,1.5432083333333333,9.456064,8.631384,
38,1.5849166666666665,9.606659,8.631384,
39,1.626625,9.521823,8.631384,
40,1.6683333333333332,9.421278,8.631384,
41,1.7100416666666665,9.583674,8.631384,
42,1.75175,9.589702,8.391608,
43,1.7934583333333332,0.0,0.0,Tracking lost
44,1.8351666666666666,9.505586,8.631374,
45,1.8768749999999998,9.62099,8.631384,
46,1.9185833333333333,9.309968,8.631379,
47,1.9602916666666665,9.580205,8.631384,
48,2.002,9.375241,8.631384,
49,2.043708333333333,9.50277,8.631384,
50,2.0854166666666667,9.547248,8.631384,
51,2.127125,9.3724375,8.631384,
52,2.168833333333333,9.449761,8.631384,
53,2.2105416666666664,9.571486,8.631384,
54,2.2522499999999996,9.495225,8.949011,
55,2.2939583333333333,0.0,0.0,Tracking lost
56,2.3356666666666666,9.575819,8.631384,
57,2.377375,9.572272,8.631384,
58,2.419083333333333,9.597757,8.948974,
59,2.4607916666666667,9.591175,8.631384,
60,2.5025,9.749449,8.949011,
61,2.544208333333333,9.593462,8.949011,
62,2.5859166666666664,9.695995,8.949011,
