=== Drone Speed Estimation Results ===

Frame Index,Time (seconds),Speed LK (m/s),Speed ORB (m/s),Note
63,2.6276249999999997,9.716779,8.949011,
64,2.6693333333333333,9.873187,8.949011,
65,2.7110416666666666,9.757575,8.949011,
66,2.75275,0.0,0.0,Tracking lost
67,2.794458333333333,9.95772,8.949011,
68,2.8361666666666663,10.16085,9.59041,
69,2.877875,10.04759,9.59041,
70,2.919583333333333,10.183787,9.59041,
71,2.9612916666666664,10.214815,9.59041,
72,3.0029999999999997,10.222584,9.943304,
73,3.044708333333333,10.4274,9.943304,
74,3.0864166666666666,10.47861,9.94334,
75,3.128125,10.4187975,9.9433775,
76,3.169833333333333,10.432442,9.94334,
77,3.2115416666666663,10.573541,10.069886,
78,3.25325,0.0,0.0,Tracking lost
79,3.294958333333333,10.721931,10.069886,
80,3.3366666666666664,10.785995,10.069886,
81,3.3783749999999997,10.8295965,10.35766,
82,3.420083333333333,10.878488,10.357587,
83,3.4617916666666666,11.101524,10.35766,
84,3.5035,11.039085,10.357642,
85,3.545208333333333,11.066726,10.35766,
86,3.5869166666666663,11.114679,10.35766,
87,3.6286249999999995,11.27756,10.738798,
88,3.6703333333333332,11.280429,10.357734,
89,3.7120416666666665,0.0,0.0,Tracking lost
90,3.7537499999999997,11.375615,10.738871,
91,3.795458333333333,11.526705,10.789211,
92,3.8371666666666666,11.462297,10.453548,
93,3.878875,11.608229,10.789211,
94,3.920583333333333,11.902982,10.738798,
95,3.9622916666666663,11.954727,10.789211,
96,4.004,12.185787,10.789211,
97,4.045708333333333,12.563028,11.508463,
98,4.087416666666666,12.259809,11.931983,
99,4.129124999999999,12.470504,11.508536,
100,4.170833333333333,12.511554,11.508499,
101,4.212541666666667,7.316902e-05,0.0,Tracking lost
102,4.25425,12.637109,11.508463,
103,4.295958333333333,13.026259,11.508463,
104,4.337666666666666,13.035333,11.508463,
105,4.379375,13.378209,11.508463,
106,4.421083333333333,13.189382,10.738798,
107,4.462791666666666,13.335583,12.083863,
108,4.504499999999999,13.568162,11.932001,
109,4.546208333333333,13.6203575,11.932001,
110,4.587916666666667,13.853511,11.931965,
111,4.629625,13.592164,11.508499,
112,4.671333333333333,0.00034714834,0.0,Tracking lost
113,4.713041666666666,14.119306,11.508536,
114,4.75475,13.742875,11.508499,
115,4.796458333333333,14.033159,11.508499,
116,4.838166666666666,13.771353,12.08392,
117,4.879874999999999,14.07637,11.932038,
118,4.921583333333333,14.190951,11.508536,
119,4.963291666666667,14.061435,11.767417,
120,5.005,14.56817,11.932001,
121,5.046708333333333,14.596179,11.932001,
122,5.088416666666666,14.468428,11.988012,
123,5.130125,0.000110133966,0.0,Tracking lost
124,5.171833333333333,14.737659,11.932001,
125,5.213541666666666,14.014827,12.429149,
126,5.255249999999999,14.672491,11.988012,
127,5.2969583333333325,14.276082,11.988012,
128,5.338666666666667,14.6347685,11.932001,
129,5.380375,14.394106,11.932038,
130,5.422083333333333,14.894837,11.931965,
131,5.463791666666666,14.725719,11.932038,
132,5.5055,14.4460745,11.932038,
133,5.547208333333333,14.429316,12.429149,
134,5.588916666666666,14.88694,11.932038,
135,5.630624999999999,5.1738312e-05,0.0,Tracking lost
136,5.672333333333333,14.572124,11.508536,
137,5.714041666666667,11.130343,11.508463,
138,5.75575,11.377748,11.508499,
139,5.797458333333333,11.373664,11.508536,
140,5.839166666666666,11.526266,11.931965,
141,5.880875,11.401645,11.508536,
142,5.922583333333333,11.84398,12.083863,
143,5.964291666666666,11.347445,11.508499,
144,6.005999999999999,11.332985,11.508499,
145,6.047708333333333,11.41763,11.508463,
146,6.089416666666666,0.0,0.0,Tracking lost
147,6.131125,11.261919,11.508463,
148,6.172833333333333,11.450151,11.508499,
149,6.214541666666666,11.389146,11.508499,
150,6.25625,11.423374,11.508499,
151,6.297958333333333,11.671996,11.988012,
152,6.339666666666666,11.459795,11.931965,
153,6.381374999999999,11.279598,11.508463,
154,6.423083333333333,11.459022,11.508463,
155,6.464791666666666,11.455482,11.508463,
156,6.5065,11.483585,11.508499,
157,6.548208333333333,11.456167,11.508463,
158,6.589916666666666,0.0,0.0,Tracking lost
159,6.631625,11.452119,11.508463,
160,6.673333333333333,11.69223,11.988012,
161,6.715041666666666,11.552617,11.508463,
162,6.756749999999999,11.41302,10.789211,
163,6.798458333333333,11.524716,10.789211,
164,6.840166666666666,11.455082,11.393441,
165,6.881874999999999,11.542722,10.789211,
166,6.923583333333333,11.709261,10.789211,
167,6.965291666666666,11.729598,10.789211,
168,7.007,12.006512,11.988012,
169,7.048708333333333,0.0,0.0,Tracking lost
170,7.090416666666666,11.440377,10.789211,
171,7.132124999999999,11.961249,10.789211,
172,7.173833333333333,11.699961,10.789211,
173,7.215541666666666,12.277165,10.789211,
174,7.257249999999999,12.015222,10.789211,
175,7.298958333333333,12.358185,10.789211,
176,7.3406666666666665,11.982014,10.789211,
177,7.382375,12.422991,11.932029,
178,7.424083333333333,12.366558,11.6283865,
179,7.465791666666666,12.417461,10.789211,
180,7.507499999999999,12.333097,11.508499,
181,7.549208333333333,0.0,0.0,Tracking lost
182,7.590916666666666,12.374219,11.508463,
183,7.632624999999999,12.650973,11.508463,
184,7.674333333333333,12.572728,11.508463,
185,7.7160416666666665,12.726675,11.508463,
186,7.75775,12.706567,11.988012,
187,7.799458333333333,12.637407,11.931965,
188,7.841166666666666,12.842681,11.508463,
189,7.882874999999999,13.014675,11.508494,
190,7.924583333333333,12.888593,11.508463,
191,7.966291666666666,12.980303,11.508463,
192,8.008,0.0,0.0,Tracking lost
193,8.049708333333333,13.086504,11.508536,
194,8.091416666666666,13.019428,11.508499,
195,8.133125,13.110136,12.083863,
196,8.174833333333332,13.487412,11.508536,
197,8.216541666666666,13.231877,11.508499,
198,8.258249999999999,13.405205,11.652386,
199,8.299958333333333,13.266089,11.508499,
200,8.341666666666667,13.34248,11.508499,
201,8.383375,13.441452,11.508499,
202,8.425083333333333,13.517132,11.508463,
203,8.466791666666666,0.0,0.0,Tracking lost
204,8.5085,13.426401,11.988012,
205,8.550208333333332,13.724679,11.508463,
206,8.591916666666666,13.568093,11.508499,
207,8.633624999999999,13.638561,11.508463,
208,8.675333333333333,13.860804,11.508536,
209,8.717041666666667,13.584333,10.789211,
210,8.75875,13.57994,10.789211,
211,8.800458333333333,13.897751,11.508463,
212,8.842166666666666,13.553221,11.988012,
213,8.883875,13.759006,11.508499,
214,8.925583333333332,14.0025,10.789211,
215,8.967291666666666,0.0002357236,0.0,Tracking lost
216,9.008999999999999,13.901607,10.789211,
217,9.050708333333333,13.729338,10.789211,
218,9.092416666666667,13.171908,10.789211,
219,9.134125,13.381634,10.789211,
220,9.175833333333333,13.197918,10.789211,
221,9.217541666666666,13.324463,11.932038,
222,9.25925,13.753165,11.508499,
223,9.300958333333332,13.419765,10.789211,
224,9.342666666666666,13.369579,10.789211,
225,9.384374999999999,13.422457,10.789211,
226,9.426083333333333,3.686922e-05,0.0,Tracking lost
227,9.467791666666667,13.535421,10.789211,
228,9.5095,13.512392,11.508463,
229,9.551208333333333,13.532018,10.789211,
230,9.592916666666666,13.545274,11.932038,
231,9.634625,13.769578,10.789211,
232,9.676333333333332,13.684763,10.789211,
233,9.718041666666666,13.761293,10.35766,
234,9.759749999999999,13.84439,10.789211,
235,9.801458333333333,13.726092,11.508463,
236,9.843166666666667,13.854987,11.508463,

=== Summary ===
Final Frame,236
Final Time (s),9.843166666666667
Final Speed LK (m/s),13.854987
Final Speed ORB (m/s),11.508463

Average Speed LK (m/s),10.769043
Average Speed ORB (m/s),9.635209439164502
